# ATT&CK technique catalog. GENERATED - do not edit by hand.
# Source: pySigma mitre_attack data, the same dataset `sigma check`
# validates hunting-detections/ against.
# Regenerate: python tools/report-tooling/generate-attack-catalog.py
# attack_version	19.2
# id	primary_tactic	name	all_tactics
T1001	Command and Control	Data Obfuscation	Command and Control
T1001.001	Command and Control	Junk Data	Command and Control
T1001.002	Command and Control	Steganography	Command and Control
T1001.003	Command and Control	Protocol or Service Impersonation	Command and Control
T1003	Credential Access	OS Credential Dumping	Credential Access
T1003.001	Credential Access	LSASS Memory	Credential Access
T1003.002	Credential Access	Security Account Manager	Credential Access
T1003.003	Credential Access	NTDS	Credential Access
T1003.004	Credential Access	LSA Secrets	Credential Access
T1003.005	Credential Access	Cached Domain Credentials	Credential Access
T1003.006	Credential Access	DCSync	Credential Access
T1003.007	Credential Access	Proc Filesystem	Credential Access
T1003.008	Credential Access	/etc/passwd and /etc/shadow	Credential Access
T1005	Collection	Data from Local System	Collection
T1006	Stealth	Direct Volume Access	Stealth
T1007	Discovery	System Service Discovery	Discovery
T1008	Command and Control	Fallback Channels	Command and Control
T1010	Discovery	Application Window Discovery	Discovery
T1011	Exfiltration	Exfiltration Over Other Network Medium	Exfiltration
T1011.001	Exfiltration	Exfiltration Over Bluetooth	Exfiltration
T1012	Discovery	Query Registry	Discovery
T1014	Stealth	Rootkit	Stealth
T1016	Discovery	System Network Configuration Discovery	Discovery
T1016.001	Discovery	Internet Connection Discovery	Discovery
T1016.002	Discovery	Wi-Fi Discovery	Discovery
T1018	Discovery	Remote System Discovery	Discovery
T1020	Exfiltration	Automated Exfiltration	Exfiltration
T1020.001	Exfiltration	Traffic Duplication	Exfiltration
T1021	Lateral Movement	Remote Services	Lateral Movement
T1021.001	Lateral Movement	Remote Desktop Protocol	Lateral Movement
T1021.002	Lateral Movement	SMB/Windows Admin Shares	Lateral Movement
T1021.003	Lateral Movement	Distributed Component Object Model	Lateral Movement
T1021.004	Lateral Movement	SSH	Lateral Movement
T1021.005	Lateral Movement	VNC	Lateral Movement
T1021.006	Lateral Movement	Windows Remote Management	Lateral Movement
T1021.007	Lateral Movement	Cloud Services	Lateral Movement
T1021.008	Lateral Movement	Direct Cloud VM Connections	Lateral Movement
T1025	Collection	Data from Removable Media	Collection
T1027	Stealth	Obfuscated Files or Information	Stealth
T1027.001	Stealth	Binary Padding	Stealth
T1027.002	Stealth	Software Packing	Stealth
T1027.003	Stealth	Steganography	Stealth
T1027.004	Stealth	Compile After Delivery	Stealth
T1027.005	Stealth	Indicator Removal from Tools	Stealth
T1027.006	Stealth	HTML Smuggling	Stealth
T1027.007	Stealth	Dynamic API Resolution	Stealth
T1027.008	Stealth	Stripped Payloads	Stealth
T1027.009	Stealth	Embedded Payloads	Stealth
T1027.010	Stealth	Command Obfuscation	Stealth
T1027.011	Stealth	Fileless Storage	Stealth
T1027.012	Stealth	LNK Icon Smuggling	Stealth
T1027.013	Stealth	Encrypted/Encoded File	Stealth
T1027.014	Stealth	Polymorphic Code	Stealth
T1027.015	Stealth	Compression	Stealth
T1027.016	Stealth	Junk Code Insertion	Stealth
T1027.017	Stealth	SVG Smuggling	Stealth
T1027.018	Stealth	Invisible Unicode	Stealth
T1029	Exfiltration	Scheduled Transfer	Exfiltration
T1030	Exfiltration	Data Transfer Size Limits	Exfiltration
T1033	Discovery	System Owner/User Discovery	Discovery
T1036	Stealth	Masquerading	Stealth
T1036.001	Stealth	Invalid Code Signature	Stealth
T1036.002	Stealth	Right-to-Left Override	Stealth
T1036.003	Stealth	Rename Legitimate Utilities	Stealth
T1036.004	Stealth	Masquerade Task or Service	Stealth
T1036.005	Stealth	Match Legitimate Resource Name or Location	Stealth
T1036.006	Stealth	Space after Filename	Stealth
T1036.007	Stealth	Double File Extension	Stealth
T1036.008	Stealth	Masquerade File Type	Stealth
T1036.009	Stealth	Break Process Trees	Stealth
T1036.010	Stealth	Masquerade Account Name	Stealth
T1036.011	Stealth	Overwrite Process Arguments	Stealth
T1036.012	Stealth	Browser Fingerprint	Stealth
T1037	Persistence	Boot or Logon Initialization Scripts	Persistence,Privilege Escalation
T1037.001	Persistence	Logon Script (Windows)	Persistence,Privilege Escalation
